order_id,customer_id,product_id,order_date,ship_date,quantity,unit_price,discount_amount,tax_amount,total_amount,order_status,payment_method,shipping_method
ORD00000020,CUST000958,PROD000128,2025-02-04,2025-02-10,5.0,140.6,111.65,47.31,638.66,Cancelled,Debit Card,Overnight
ORD00000021,CUST000944,PROD000001,2025-01-14,2025-01-18,8.0,78.75,124.7,40.42,545.72,Shipped,PayPal,Express
ORD00000022,CUST000313,PROD000031,2025-04-16,2025-04-21,4.0,167.17,0.0,53.49,722.17,Completed,Bank Transfer,Express
ORD00000023,CUST000638,PROD000099,2025-10-06,,2.0,173.59,29.86,25.39,342.71,Shipped,Credit Card,Standard
ORD00000024,CUST000749,PROD000038,2025-06-28,,8.0,452.11,0.0,289.35,3906.23,Pending,Debit Card,Express
ORD00000025,CUST000643,PROD000186,2025-03-12,2025-03-17,9.0,241.57,0.0,173.93,2348.06,Shipped,Debit Card,Overnight
ORD00000026,CUST000957,PROD000058,2025-11-18,2025-11-24,7.0,150.04,0.0,84.02,1134.3,Completed,Credit Card,Overnight
ORD00000027,CUST000455,PROD000013,2025-04-06,2025-04-08,9.0,293.51,0.0,211.33,2852.92,Completed,Debit Card,Overnight
ORD00000028,CUST000425,PROD000047,2025-05-25,2025-05-26,7.0,210.55,0.0,117.91,1591.76,Completed,PayPal,Overnight
ORD00000029,CUST000616,PROD000090,2025-07-17,2025-07-24,9.0,433.68,0.0,312.25,4215.37,Completed,PayPal,Express
ORD00000030,CUST000356,PROD000023,2025-06-24,2025-06-27,4.0,149.59,86.57,40.94,552.73,Completed,Credit Card,Express
ORD00000031,CUST000807,PROD000145,2025-01-09,2025-01-16,8.0,398.63,162.27,242.14,3268.91,Completed,PayPal,Standard
ORD00000032,CUST000003,PROD000098,2025-11-19,,3.0,303.25,0.0,72.78,982.53,Pending,Bank Transfer,Standard
ORD00000033,CUST000669,PROD000057,2025-10-09,2025-10-14,9.0,350.55,0.0,252.4,3407.35,Pending,Credit Card,Standard
ORD00000034,CUST000109,PROD000088,2024-12-20,2024-12-23,4.0,732.83,0.0,234.51,3165.83,Completed,Bank Transfer,Standard
ORD00000035,CUST000539,PROD000035,2025-02-20,2025-02-27,5.0,409.18,236.89,144.72,1953.73,Completed,Debit Card,Express
ORD00000036,CUST000259,PROD000030,2025-04-13,2025-04-14,6.0,186.15,0.0,89.35,1206.25,Completed,Debit Card,Express
ORD00000037,CUST000632,PROD000044,2025-11-01,2025-11-03,7.0,45.05,0.0,25.23,340.58,Completed,Debit Card,Overnight
ORD00000038,CUST000872,PROD000031,2025-08-12,2025-08-16,5.0,167.17,103.11,58.62,791.36,Cancelled,Debit Card,Express
ORD00000039,CUST000732,PROD000131,2025-05-01,2025-05-06,7.0,578.53,784.23,261.24,3526.72,Completed,Debit Card,Express
ORD00000040,CUST000105,PROD000082,2025-03-10,2025-03-11,4.0,301.58,210.47,79.67,1075.52,Shipped,Credit Card,Express
ORD00000041,CUST000666,PROD000185,2025-03-21,2025-03-24,5.0,340.76,0.0,136.3,1840.1,Completed,Debit Card,Overnight
ORD00000042,CUST000257,PROD000051,2025-03-05,2025-03-07,4.0,368.88,99.23,110.1,1486.39,Cancelled,Debit Card,Overnight
ORD00000043,CUST000247,PROD000186,2025-04-16,2025-04-18,8.0,241.57,0.0,154.6,2087.16,Cancelled,Debit Card,Standard
ORD00000044,CUST000368,PROD000094,2025-01-23,,3.0,463.74,97.17,103.52,1397.57,Completed,Debit Card,Express
ORD00000045,CUST000639,PROD000109,2025-11-12,2025-11-17,4.0,583.02,134.43,175.81,2373.46,Completed,Debit Card,Standard
ORD00000046,CUST000228,PROD000171,2025-06-02,,8.0,27.93,25.49,15.84,213.79,Completed,PayPal,Express
ORD00000047,CUST000137,PROD000029,2025-07-01,2025-07-04,7.0,351.7,453.64,160.66,2168.92,Completed,Credit Card,Overnight
ORD00000048,CUST000098,PROD000099,2025-06-10,2025-06-12,5.0,173.59,0.0,69.44,937.39,Completed,Bank Transfer,Standard
ORD00000049,CUST000008,PROD000063,2025-07-15,2025-07-19,6.0,555.58,0.0,266.68,3600.16,Cancelled,Credit Card,Overnight
ORD00000050,CUST000758,PROD000187,2025-02-12,2025-02-19,3.0,466.16,0.0,111.88,1510.36,Completed,PayPal,Standard
ORD00000051,CUST000825,PROD000028,2024-12-24,,4.0,557.36,0.0,178.36,2407.8,Completed,Debit Card,Overnight
ORD00000052,CUST000668,PROD000009,2025-01-17,2025-01-18,1.0,239.55,0.0,19.16,258.71,Cancelled,Debit Card,Standard
ORD00000053,CUST000983,PROD000130,2024-11-26,2024-11-30,2.0,246.15,64.98,34.19,461.51,Cancelled,Bank Transfer,Standard
ORD00000054,CUST000772,PROD000160,2025-02-21,2025-02-27,3.0,461.04,108.93,101.94,1376.13,Completed,PayPal,Express
ORD00000055,CUST000917,PROD000090,2025-04-06,,2.0,433.68,0.0,69.39,936.75,Pending,Credit Card,Standard
ORD00000056,CUST000233,PROD000160,2025-01-19,,3.0,461.04,267.45,89.25,1204.92,Cancelled,Debit Card,Overnight
ORD00000057,CUST000715,PROD000182,2025-05-02,2025-05-06,9.0,636.3,0.0,458.14,6184.84,Completed,Bank Transfer,Overnight
ORD00000058,CUST000656,PROD000085,2025-05-09,2025-05-14,7.0,188.85,0.0,105.76,1427.71,Completed,Credit Card,Standard
ORD00000059,CUST000295,PROD000124,2025-02-02,2025-02-04,10.0,566.29,0.0,453.03,6115.93,Shipped,Bank Transfer,Overnight
ORD00000060,CUST000389,PROD000063,2024-11-24,2024-11-30,9.0,555.58,889.4,328.87,4439.69,Completed,Credit Card,Standard
ORD00000061,CUST000935,PROD000123,2025-07-30,2025-07-31,9.0,135.43,68.09,92.06,1242.84,Completed,Debit Card,Express
ORD00000062,CUST000737,PROD000110,2025-10-26,2025-11-01,4.0,54.24,0.0,17.36,234.32,Completed,Credit Card,Overnight
ORD00000063,CUST000226,PROD000131,2025-05-28,2025-06-03,10.0,578.53,0.0,462.82,6248.12,Cancelled,PayPal,Overnight
ORD00000064,CUST000935,PROD000098,2025-09-14,2025-09-18,10.0,303.25,599.8,194.62,2627.32,Completed,PayPal,Standard
ORD00000065,CUST000711,PROD000132,2025-07-01,2025-07-03,5.0,263.32,0.0,105.33,1421.93,Shipped,Credit Card,Overnight
ORD00000066,CUST000350,PROD000148,2024-12-04,2024-12-08,5.0,610.28,0.0,244.11,3295.51,Shipped,Debit Card,Express
ORD00000067,CUST000743,PROD000037,2025-08-01,2025-08-04,5.0,355.83,257.03,121.77,1643.89,Pending,Debit Card,Express
ORD00000068,CUST000878,PROD000078,2025-07-26,2025-08-01,7.0,413.13,0.0,231.35,3123.26,Completed,Bank Transfer,Standard
ORD00000069,CUST000832,PROD000197,2025-03-31,2025-04-02,3.0,426.52,158.13,89.71,1211.14,Cancelled,PayPal,Standard
ORD00000070,CUST000415,PROD000003,2025-06-16,2025-06-18,3.0,527.48,0.0,126.6,1709.04,Completed,Credit Card,Standard
ORD00000071,CUST000994,PROD000123,2025-10-16,2025-10-20,4.0,135.43,0.0,43.34,585.06,Pending,Credit Card,Overnight
ORD00000072,CUST000054,PROD000121,2025-02-25,2025-02-27,1.0,200.14,0.0,16.01,216.15,Completed,Credit Card,Standard
ORD00000073,CUST000620,PROD000090,2024-12-27,2024-12-28,3.0,433.68,81.37,97.57,1317.24,Cancelled,Credit Card,Standard
ORD00000074,CUST000144,PROD000144,2025-09-28,,6.0,223.36,0.0,107.21,1447.37,Completed,Bank Transfer,Overnight
ORD00000075,CUST000361,PROD000066,2025-04-08,2025-04-15,3.0,578.33,0.0,138.8,1873.79,Completed,Credit Card,Overnight
ORD00000076,CUST000757,PROD000065,2024-12-02,2024-12-05,9.0,217.34,339.84,129.3,1745.52,Completed,Credit Card,Overnight
ORD00000077,CUST000145,PROD000030,2025-04-23,,1.0,186.15,0.0,14.89,201.04,Pending,Bank Transfer,Standard
ORD00000078,CUST000408,PROD000079,2025-05-25,2025-05-31,5.0,408.2,371.15,133.59,1803.44,Cancelled,Credit Card,Express
ORD00000079,CUST000716,PROD000030,2025-08-27,2025-08-28,4.0,186.15,143.99,48.05,648.66,Shipped,PayPal,Standard
ORD00000080,CUST000993,PROD000097,2025-05-21,2025-05-22,1.0,396.7,0.0,31.74,428.44,Shipped,PayPal,Overnight
ORD00000081,CUST000494,PROD000198,2025-08-21,2025-08-27,7.0,477.53,501.71,227.28,3068.28,Completed,PayPal,Standard
ORD00000082,CUST000416,PROD000078,2025-07-06,2025-07-10,6.0,413.13,0.0,198.3,2677.08,Cancelled,Credit Card,Standard
ORD00000083,CUST000846,PROD000009,2025-09-06,2025-09-13,3.0,239.55,0.0,57.49,776.14,Cancelled,Bank Transfer,Standard
ORD00000084,CUST000446,PROD000175,2025-09-25,2025-09-30,7.0,434.7,0.0,243.43,3286.33,Completed,PayPal,Standard
ORD00000085,CUST000074,PROD000171,2025-08-20,2025-08-27,7.0,27.93,0.0,15.64,211.15,Pending,Bank Transfer,Overnight
ORD00000086,CUST000780,PROD000146,2024-12-31,2025-01-03,3.0,617.41,0.0,148.18,2000.41,Completed,Bank Transfer,Express
ORD00000087,CUST000977,PROD000175,2025-02-13,2025-02-17,9.0,434.7,0.0,312.98,4225.28,Completed,Bank Transfer,Standard
ORD00000088,CUST000411,PROD000069,2025-01-28,2025-02-03,7.0,276.31,0.0,154.73,2088.9,Cancelled,Debit Card,Overnight
ORD00000089,CUST000924,PROD000171,2025-10-08,,6.0,27.93,33.36,10.74,144.96,Shipped,Bank Transfer,Standard
ORD00000090,CUST000703,PROD000052,2025-09-26,2025-09-27,6.0,153.15,0.0,73.51,992.41,Completed,PayPal,Express
ORD00000091,CUST000420,PROD000109,2025-09-09,2025-09-16,9.0,583.02,0.0,419.77,5666.95,Completed,Debit Card,Standard
ORD00000092,CUST000469,PROD000032,2025-10-24,2025-10-30,3.0,578.49,267.9,117.41,1584.98,Cancelled,Credit Card,Overnight
ORD00000093,CUST000161,PROD000052,2025-04-18,2025-04-21,1.0,153.15,0.0,12.25,165.4,Completed,Bank Transfer,Overnight
ORD00000094,CUST000702,PROD000141,2025-09-02,,3.0,106.35,0.0,25.52,344.57,Completed,Credit Card,Overnight
ORD00000095,CUST000704,PROD000130,2025-04-22,2025-04-24,3.0,246.15,0.0,59.08,797.53,Shipped,PayPal,Express
ORD00000096,CUST000092,PROD000200,2025-04-25,2025-05-01,6.0,239.5,0.0,114.96,1551.96,Completed,PayPal,Standard
ORD00000097,CUST000018,PROD000078,2025-09-03,2025-09-04,1.0,413.13,0.0,33.05,446.18,Completed,Credit Card,Express
ORD00000098,CUST000833,PROD000140,2025-04-19,2025-04-25,8.0,528.11,0.0,337.99,4562.87,Shipped,PayPal,Overnight
ORD00000099,CUST000709,PROD000103,2025-07-28,2025-08-01,3.0,520.17,99.55,116.88,1577.84,Completed,Debit Card,Express
ORD00000100,CUST000718,PROD000156,2025-01-09,2025-01-10,4.0,471.51,0.0,150.88,2036.92,,Credit Card,Overnight
ORD00000101,CUST000444,PROD000181,2025-03-27,2025-03-31,6.0,64.97,0.0,31.19,421.01,Pending,Debit Card,Standard
ORD00000102,CUST000509,PROD000022,2025-05-15,,7.0,480.14,222.7,251.06,3389.34,Shipped,PayPal,Standard
ORD00000103,CUST000672,PROD000107,2025-07-22,,3.0,114.18,0.0,27.4,369.94,Shipped,Credit Card,Express
ORD00000104,CUST000901,PROD000158,2025-08-17,,4.0,480.5,0.0,153.76,2075.76,Completed,Credit Card,Overnight
ORD00000105,CUST000884,PROD000009,2025-02-05,2025-02-06,10.0,239.55,0.0,191.64,2587.14,Completed,PayPal,Standard
ORD00000106,CUST000760,PROD000033,2025-06-16,2025-06-17,6.0,607.43,0.0,291.57,3936.15,Shipped,Debit Card,Express
ORD00000107,CUST000330,PROD000171,2025-05-05,2025-05-11,6.0,27.93,0.0,13.41,180.99,Completed,PayPal,Express
ORD00000108,CUST000868,PROD000085,2025-03-09,2025-03-10,9.0,188.85,0.0,135.97,1835.62,Shipped,Bank Transfer,Express
ORD00000109,CUST000619,PROD000035,2025-01-25,2025-02-01,1.0,409.18,29.76,30.35,409.77,Cancelled,Credit Card,Overnight
ORD00000110,CUST000910,PROD000011,2025-07-26,2025-07-28,3.0,668.57,0.0,160.46,2166.17,Shipped,PayPal,Express
ORD00000111,CUST000139,PROD000178,2025-09-15,2025-09-18,5.0,646.74,0.0,258.7,3492.4,Pending,Credit Card,Overnight
ORD00000112,CUST000373,PROD000120,2024-12-07,,4.0,277.43,157.09,76.21,1028.84,Completed,Bank Transfer,Standard
ORD00000113,CUST000360,PROD000135,2025-11-14,2025-11-16,5.0,426.65,0.0,170.66,2303.91,Completed,Bank Transfer,Standard
ORD00000114,CUST000797,PROD000067,2025-04-03,2025-04-06,3.0,267.58,0.0,64.22,866.96,Completed,PayPal,Express
ORD00000115,CUST000938,PROD000137,2025-10-07,2025-10-08,3.0,691.61,0.0,165.99,2240.82,Pending,PayPal,Express
ORD00000116,CUST000226,PROD000023,2024-12-24,2024-12-26,2.0,149.59,0.0,23.93,323.11,Completed,PayPal,Express
ORD00000117,CUST000934,PROD000051,2025-04-26,2025-05-03,10.0,368.88,0.0,295.1,3983.9,Completed,PayPal,Express
ORD00000118,CUST000220,PROD000003,2025-10-10,2025-10-16,7.0,527.48,0.0,295.39,3987.75,Cancelled,Credit Card,Overnight
ORD00000119,CUST000345,PROD000066,2024-12-27,2024-12-28,4.0,578.33,0.0,185.07,2498.39,Completed,Credit Card,Express
ORD00000120,CUST000547,PROD000030,2025-05-13,,10.0,186.15,0.0,148.92,2010.42,Pending,Bank Transfer,Overnight
ORD00000121,CUST000219,PROD000078,2025-10-05,2025-10-08,8.0,413.13,0.0,264.4,3569.44,Pending,Credit Card,Standard
ORD00000122,CUST000311,PROD000119,2025-08-21,2025-08-27,2.0,601.59,0.0,96.25,1299.43,Pending,Debit Card,Express
ORD00000123,CUST000665,PROD000006,2025-06-06,2025-06-07,6.0,583.68,0.0,280.17,3782.25,Completed,Bank Transfer,Standard
ORD00000124,CUST000351,PROD000165,2025-07-02,2025-07-06,1.0,544.3,0.0,43.54,587.84,Completed,Debit Card,Express
ORD00000125,CUST000313,PROD000079,2025-02-04,,10.0,408.2,0.0,326.56,4408.56,Completed,Bank Transfer,Express
ORD00000126,CUST000340,PROD000141,2025-08-04,2025-08-05,4.0,106.35,0.0,34.03,459.43,Cancelled,Bank Transfer,Express
ORD00000127,CUST000980,PROD000181,2025-07-15,2025-07-21,3.0,64.97,11.77,14.65,197.79,Completed,Bank Transfer,Express
ORD00000128,CUST000251,PROD000127,2025-02-26,2025-02-28,5.0,466.84,135.53,175.89,2374.56,Pending,PayPal,Express
ORD00000129,CUST000671,PROD000140,2025-08-29,2025-08-31,6.0,528.11,0.0,253.49,3422.15,Shipped,Debit Card,Overnight
ORD00000130,CUST000614,PROD000055,2025-04-12,,10.0,393.06,0.0,314.45,4245.05,Shipped,Debit Card,Standard
ORD00000131,CUST000290,PROD000137,2024-12-15,2024-12-20,10.0,691.61,1034.71,470.51,6351.9,Cancelled,PayPal,Standard
ORD00000132,CUST000876,PROD000013,2025-09-05,2025-09-09,3.0,293.51,0.0,70.44,950.97,Cancelled,Bank Transfer,Express
ORD00000133,CUST000337,PROD000001,2025-02-28,2025-03-06,1.0,78.75,0.0,6.3,85.05,Completed,Bank Transfer,Overnight
ORD00000134,CUST000138,PROD000123,2025-01-29,2025-01-30,1.0,135.43,26.66,8.7,117.47,Shipped,Debit Card,Overnight
ORD00000135,CUST000491,PROD000001,2025-05-12,2025-05-14,6.0,78.75,37.17,34.83,470.16,Completed,,Express
ORD00000136,CUST000753,PROD000094,2025-11-13,2025-11-16,5.0,463.74,0.0,185.5,2504.2,Cancelled,Bank Transfer,Overnight
ORD00000137,CUST000200,PROD000170,2025-04-02,2025-04-06,7.0,461.66,0.0,258.53,3490.15,Pending,PayPal,Standard
ORD00000138,CUST000475,PROD000152,2025-08-23,2025-08-27,7.0,156.19,0.0,87.47,1180.8,Completed,Bank Transfer,Express
,CUST000750,PROD000108,2025-06-29,2025-07-06,7.0,302.77,0.0,169.55,2288.94,Completed,Credit Card,Standard
ORD00000140,CUST000559,PROD000123,2025-10-07,2025-10-13,1.0,135.43,0.0,10.83,146.26,Pending,Credit Card,Overnight
ORD00000141,CUST000314,PROD000004,2025-04-08,2025-04-13,10.0,177.51,0.0,142.01,1917.11,Pending,Debit Card,Standard
ORD00000142,CUST000973,PROD000089,2025-04-03,2025-04-08,7.0,136.49,170.5,62.79,847.72,Completed,Bank Transfer,Express
ORD00000143,CUST000587,PROD000175,2024-12-26,2025-01-01,7.0,434.7,323.15,217.58,2937.33,Completed,PayPal,Overnight
ORD00000144,CUST000823,PROD000059,2025-07-09,,7.0,37.78,0.0,21.16,285.62,Pending,Credit Card,Standard
ORD00000145,CUST000755,PROD000112,2025-11-08,2025-11-10,6.0,123.89,0.0,59.47,802.81,Cancelled,PayPal,Express
ORD00000146,CUST000651,PROD000050,2025-08-26,2025-08-31,7.0,553.67,,249.28,3365.24,Cancelled,Bank Transfer,Standard
ORD00000147,CUST000809,PROD000187,2025-01-30,2025-02-03,3.0,466.16,0.0,111.88,1510.36,Cancelled,Debit Card,Express
ORD00000148,CUST000429,PROD000028,2025-06-12,,3.0,557.36,0.0,133.77,1805.85,Completed,Credit Card,Overnight
ORD00000149,CUST000767,PROD000161,2025-01-30,2025-02-06,7.0,16.44,0.0,9.21,124.29,Completed,Debit Card,Express
ORD00000150,CUST000868,PROD000144,2025-08-09,2025-08-10,2.0,223.36,23.11,33.89,457.5,Completed,Credit Card,Overnight
ORD00000151,CUST000963,PROD000125,2024-11-24,,2.0,302.1,0.0,48.34,652.54,Cancelled,Debit Card,Express
ORD00000152,CUST000405,PROD000099,2025-01-01,2025-01-07,6.0,173.59,154.02,71.0,958.52,Completed,Debit Card,Overnight
ORD00000153,CUST000463,PROD000099,2025-05-12,2025-05-19,5.0,173.59,0.0,69.44,937.39,Completed,Credit Card,Overnight
ORD00000154,CUST000772,PROD000042,2025-01-29,2025-02-05,2.0,211.99,80.17,27.5,371.31,Completed,PayPal,Express
ORD00000155,CUST000605,PROD000169,2025-08-21,2025-08-22,2.0,245.67,0.0,39.31,530.65,Completed,Bank Transfer,Standard
ORD00000156,CUST000318,PROD000071,2025-03-15,2025-03-22,1.0,411.18,0.0,32.89,444.07,Cancelled,Credit Card,Standard
ORD00000157,CUST000754,PROD000116,2024-12-05,2024-12-09,7.0,402.35,0.0,225.32,3041.77,Pending,Debit Card,Standard
ORD00000158,CUST000922,PROD000021,2025-06-22,2025-06-23,3.0,346.87,0.0,83.25,1123.86,Completed,Credit Card,Express
ORD00000159,CUST000826,PROD000023,2025-05-28,,10.0,149.59,0.0,119.67,1615.57,Shipped,PayPal,Standard
ORD00000160,CUST000809,PROD000063,2025-08-15,2025-08-20,1.0,555.58,0.0,44.45,600.03,Completed,Debit Card,Express
ORD00000161,CUST000093,PROD000054,2025-09-24,2025-09-26,1.0,370.37,0.0,29.63,400.0,Cancelled,Debit Card,Express
ORD00000162,CUST000150,PROD000018,2025-07-04,2025-07-08,4.0,212.26,0.0,67.92,916.96,Shipped,PayPal,Express
ORD00000163,CUST000501,PROD000011,2025-03-13,2025-03-17,9.0,668.57,0.0,481.37,6498.5,Completed,Debit Card,Standard
ORD00000164,CUST000302,PROD000086,2024-12-05,2024-12-12,5.0,132.84,0.0,53.14,717.34,Shipped,PayPal,Standard
ORD00000165,CUST000137,PROD000069,2025-08-08,2025-08-14,8.0,276.31,0.0,176.84,2387.32,Shipped,PayPal,Express
ORD00000166,CUST000973,PROD000188,2025-01-07,2025-01-08,10.0,609.58,0.0,487.66,6583.46,Completed,PayPal,Overnight
ORD00000167,CUST000481,PROD000077,2025-10-20,2025-10-24,3.0,106.29,0.0,25.51,344.38,Completed,Bank Transfer,Express
ORD00000168,CUST000213,PROD000001,2025-01-16,,9.0,78.75,0.0,56.7,765.45,Completed,PayPal,Express
ORD00000169,CUST000591,PROD000187,2025-08-18,2025-08-21,4.0,466.16,276.98,127.01,1714.67,Completed,Credit Card,Standard
ORD00000170,CUST000012,PROD000158,2025-06-11,2025-06-17,1.0,480.5,0.0,38.44,518.94,Shipped,PayPal,Standard
ORD00000171,CUST000365,PROD000187,2025-02-07,2025-02-08,7.0,466.16,267.01,239.69,3235.8,,PayPal,Overnight
ORD00000172,CUST000148,PROD000113,2025-01-14,2025-01-21,2.0,53.91,0.0,8.63,116.45,Cancelled,Bank Transfer,Express
ORD00000173,CUST000515,PROD000057,2025-06-11,,4.0,350.55,174.0,98.26,1326.46,Completed,Bank Transfer,Standard
ORD00000174,CUST000971,PROD000023,2025-09-19,2025-09-23,3.0,149.59,0.0,35.9,484.67,Completed,Credit Card,Express
ORD00000175,CUST000622,PROD000076,2025-11-12,2025-11-18,10.0,51.27,0.0,41.02,553.72,Completed,Debit Card,Express
ORD00000176,CUST000566,PROD000124,2025-11-03,,9.0,566.29,747.76,347.91,4696.76,Completed,Bank Transfer,Overnight
ORD00000177,CUST000097,PROD000161,2025-06-20,2025-06-23,6.0,16.44,0.0,7.89,106.53,Shipped,PayPal,Express
ORD00000178,CUST000604,PROD000046,2025-01-12,2025-01-13,7.0,266.31,368.35,119.67,1615.49,Cancelled,Credit Card,Express
ORD00000179,CUST000677,PROD000011,2025-01-09,2025-01-10,1.0,668.57,116.21,44.19,596.55,Completed,Bank Transfer,Standard
ORD00000180,CUST000304,PROD000040,2025-08-26,2025-08-27,4.0,296.87,0.0,95.0,1282.48,Shipped,Credit Card,Overnight
ORD00000181,CUST000278,PROD000187,2025-10-26,,1.0,466.16,89.54,30.13,406.75,Completed,Bank Transfer,Express
ORD00000182,CUST000997,PROD000119,2024-11-29,2024-12-01,3.0,601.59,0.0,144.38,1949.15,Completed,Debit Card,Overnight
ORD00000183,CUST000971,PROD000092,2025-04-24,2025-04-30,8.0,56.52,0.0,36.17,488.33,Completed,Bank Transfer,Overnight
ORD00000184,CUST000843,PROD000046,2025-03-16,2025-03-19,6.0,266.31,0.0,127.83,1725.69,Completed,PayPal,Express
ORD00000185,CUST000172,PROD000065,2024-11-22,2024-11-23,6.0,217.34,0.0,104.32,1408.36,Cancelled,Debit Card,Overnight
ORD00000186,CUST000316,PROD000137,2025-10-13,2025-10-14,8.0,691.61,287.54,419.63,5664.97,Pending,Debit Card,Express
ORD00000187,CUST000589,PROD000088,2025-09-29,2025-10-02,4.0,732.83,0.0,234.51,3165.83,Shipped,PayPal,Express
ORD00000188,CUST000250,PROD000046,2024-11-24,2024-11-28,3.0,266.31,0.0,63.91,862.84,Completed,Debit Card,Express
ORD00000189,CUST000617,PROD000137,2025-05-08,2025-05-12,10.0,691.61,0.0,553.29,7469.39,Completed,Credit Card,Express
ORD00000190,CUST000937,PROD000103,2025-04-19,2025-04-21,5.0,520.17,0.0,208.07,2808.92,Completed,Debit Card,Express
ORD00000191,CUST000916,PROD000074,2025-09-28,2025-10-04,2.0,128.4,47.28,16.76,226.28,Completed,Bank Transfer,Overnight
ORD00000192,CUST000439,PROD000054,2025-02-23,,6.0,370.37,420.09,144.17,1946.3,Pending,Debit Card,Standard
ORD00000193,CUST000682,PROD000042,2025-05-02,,7.0,211.99,0.0,118.71,1602.64,Completed,PayPal,Standard
ORD00000194,CUST000131,PROD000080,2025-10-27,2025-11-02,7.0,508.41,0.0,284.71,3843.58,Completed,Debit Card,Express
ORD00000195,CUST000871,PROD000028,2025-08-23,2025-08-28,5.0,557.36,0.0,222.94,3009.74,Pending,Credit Card,Overnight
ORD00000196,CUST000030,PROD000046,2025-10-27,2025-11-02,4.0,266.31,0.0,85.22,1150.46,Completed,Credit Card,Overnight
ORD00000197,CUST000224,PROD000177,2025-07-08,2025-07-10,2.0,161.78,0.0,25.88,349.44,Shipped,Bank Transfer,Express
ORD00000198,CUST000459,PROD000130,2025-05-04,2025-05-05,4.0,246.15,0.0,78.77,1063.37,Completed,Bank Transfer,Standard
ORD00000199,CUST000235,PROD000076,2025-08-26,2025-09-02,4.0,51.27,0.0,16.41,221.49,Shipped,PayPal,Overnight
ORD00000200,CUST000927,PROD000120,2025-11-20,2025-11-21,3.0,277.43,0.0,66.58,898.87,Pending,PayPal,Overnight
ORD00000201,CUST000477,PROD000058,2025-07-22,2025-07-24,6.0,150.04,0.0,72.02,972.26,Completed,Bank Transfer,Standard
ORD00000202,CUST000408,PROD000109,2025-11-15,,8.0,583.02,0.0,373.13,5037.29,Completed,Credit Card,Standard
ORD00000203,CUST000658,PROD000094,2024-12-09,2024-12-16,1.0,463.74,0.0,37.1,500.84,Shipped,Credit Card,Express
ORD00000204,CUST000276,PROD000129,2025-07-18,2025-07-22,2.0,260.31,27.39,39.46,532.69,Completed,Debit Card,Overnight
ORD00000205,CUST000471,PROD000096,2025-03-09,,3.0,165.09,0.0,39.62,534.89,Cancelled,PayPal,Express
ORD00000206,CUST000904,PROD000042,2025-03-15,2025-03-21,6.0,211.99,0.0,101.76,1373.7,Pending,PayPal,Express
